,tweet
2442,@CapoDaAssHole @Alejandro_Bihhh all hoes singing it too
2443,@CapoDaAssHole @Alejandro_Bihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit
2444,@CapoDaAssHole @Alejandro_Bihhh lmaooo I wanted them hoes she was suppose to hold em
2445,@CapoDaAssHole @Alejandro_Bihhh lmaooo niggas ain't but hoes is I think I'm winning
2446,@CapoDaAssHole @Alejandro_Bihhh lmaoooo Beiber get these hoes wet big bro I'm Tryna tell you
2447,@CapoDaAssHole @Alejandro_Bihhh me either but if the bitch like put on that Beyonc&#233; nigga ain't gone hesitate
2448,@CapoDaAssHole @Alejandro_Bihhh whatever turn them hoes on z-Ro ain't gone get the bitch wet
2449,@CapoDaAssHole I fuck with Takeoff nigga get on the bitch and just snap
2450,@CapoDaAssHole lol that hoe for 5yr old
2451,@CapoDaAssHole naw where can I see that hoe at
2452,@CapoDaAssHole wiz had a warrant like a bitch
2453,@CapoDaAssHole yea he coming back him big rod doing something for that hoe
2454,@CaptElliott NFN you bitch to much.
2455,"@CarelessOne92 I'm not Hollywood at all my nig, u brought me to twitter n bounced"
2456,@CarelessOne92 a young nigga turned into Mr. CATCHMEIFYOUCAN....I'm in da field my nig #WEDAOPPS #FUKEMWEBALL
2457,"@CarelessOne92 he a real nigga tho, that bitch know her place"
2458,"@CarelessOne92 weeknd dont save hoes b, idunno bout Drake"
2459,"@CarelessOne92 weeknd make muzik for the hoes b, im tryna meet these women he be talkin bout"
2460,@CarelessOne92 you styl gotta get dem tweets off my nig
2461,"@CarlaFinch What can I say, Im a stubborn son of a bitch."
2462,"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat."
2463,@Caroline_Poe bitch im 17? And i didnt follow you..? Hahaha
2464,@Caroline_Poe haha i dont remember following you but ok? Get your pannies out of of bunch cunt
2465,@Cashhaddict Damn i wanted to buy that bitch that shit was tough
2466,@CassiusClay_232 I know bro nigga seen a 7'1 African playing Guard and was handling the hoe
2467,@CassiusClay_232 Lebron brought the bitch down to his knees chill
2468,@CassiusClay_232 who all in that hoe
2469,@CayMarieee bitch
2470,@CayMarieee bitch I'm not coming no more you said your making plans !
2471,@CayMarieee bitch I'm talm bout at like 10 &#9995;&#128514;
2472,@CayMarieee bitch ion got no attitude &#9995;&#128514;&#128557; sorry hoe I'm shaded Rn
2473,@CayMarieee bitch you NOT either bye &#128514;
2474,@CayMarieee bitch you still subtweets but not replying though &#128514;&#128557;&#128524;
2475,@CayMarieee oh bitch but you couldn't answer mine when I needed a paccage delivered to your house ! So Fucc off &#128514;&#128557;
2476,@CayMarieee omg bitch go to sleep it was JUST a coincidence huh ? &#9995;&#128514;
2477,"@CdashRay ""she's wearing the same shirt, what a bitch."""
2478,"@Ceallaighaine Oh no! Sorry Hun. That sucks. Hope you heal fast. &#128533;
#dancerproblems"
2479,@CeeNCrumpets self low down black bitch?
2480,@CeeRoss negro please...I got a job now lmao
2481,@CeeRoss shoulda told her yeah if I can take you home for pussy lol
2482,@Cee_Murda94 bitch bye you can't get it
2483,@Cee_Murda94 bitch is you drunk or nah
2484,@Cee_Murda94 it's almost ya fucking birthday. So act right niglet
2485,@Ceelos_ho3 @fvtboy @jaimescudi_ @AngelSoSwavey_ would I be a bitch if I said yea but never told you where I stay at?
2486,@CellNBuu ewwww her nips are DEF more perfect than that
2487,@CenaSux43 You/ @TheBrianMo brought it up first with the allusion that she's a hoe. @chelsea_elisa @RobertBarber64
2488,@Cesar_K_Garcia text me niggah!
2489,@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife
2490,@ChaldeanCutie really? @RileyAintShit @KILLSheredon @CHILDISHCUDl are my nudes trash?
2491,@ChaleCarlo5 fuck outta here and go put some more trash ass ink on your faggot ass self pussy
2492,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
2493,@Chancellor_IV naw Bryan said it was trash hotel so we're staying somewhere else
2494,@ChandailBailey @SteeZeyFLOW @HunturPls you need to accept the fact that you're both hipster faggots.
2495,@ChandailBailey way to delete your tweets you stanky bitch
2496,@Channnteeel pussy
2497,"@CharleeRedz13 your gay stfu, dumb monkey"
2498,@CharlesBWaffle these bitches need guidance.
2499,@CharlseyKay Homeee fag
2500,@ChaseBasford @justinbieber I was 200 bitch
2501,@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;
2502,@ChaseManhatttan you become retarded
2503,@CheCha__ be gone my nigguh
2504,"@Cheesus85 @greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, you're a hypocrite, cuz you're a faggot"
2505,@Chefboyrnach Vegeta a super hoe then. But he did snack Goni up something fierce during Buu saga :wow:
2506,@CheyenneDoan cause hes a faggot
2507,"@Chicago_Rose1 Dunleavy, my cracker ass honkie"
2508,@ChiefKeef fucc droppin songs when yu gon drop a mixtape nicca
2509,@Chillindillan71 damn! Thot I blocked ur fuzzy butt. Have now. &#128541; @virleehol @LanceSilver1 @ChristieC733 @WayneBogda @1_conservative9
2510,@Chink_19 chink thats better then having the rug rats running around yah crib girl enjoy life lol
2511,@Chink_19 shut up chink.!!!
2512,@Chokmah_Makob ok! you billy goat hair hillbilly
2513,@Chokmah_Makob you said good bye dumb bitch snd i said ok..what is it with you white devils...i have nothing for you vampire lover of blood
2514,@ChrisHeben you motherfuckin' bullshit slingin' son of a whore! you disgraced all vets with ur crap. now go off to pussy land where u belong
2515,@ChrisMcDowell_ dont be a bitch.
2516,@ChrisMcDowell_ pussy ass nigga.
2517,@ChrisPowellswag @_cblaze @Dswizzle3 Dawson and Nicky Hickman delete the fake account and and stop being bitches
2518,"@ChrisProbst11 @thorsyndirgard @peta 
Right in the pussy"
2519,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
2520,@Christian_ESEM you don't know what your talking about retarded faggot
2521,@ChristyMack fugly bitch john will dump ur ratchet ass
2522,@ChristyMack ugly flat chested prude ass white bitch
2523,"@Chrisworldpeace So I guess that makes us blacks double niggers, huh?"
2524,@Chykalet naw u just retarded kinfolk lol
2525,@CinWicked Did you just call My Sweet Baboo a ho?!?!
2526,@CiscoAllDay and btw don't ever bring up past hoes wit yo ol lady I took that L in HS tryna be semi honest smh
2527,"@CiscoAllDay why she a hoe we know about 5 dudes that hit Kim, 5 these hoes out here doing that in a week"
2528,"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;"
2529,@ClicquotSuave I would dead upper cut that bitch
2530,@ClicquotSuave maas mermaid and sharkette pussy
2531,@ClicquotSuave my nigga what her pussy smell like?
2532,@ClutchAction c'mon pussy
2533,"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
2534,@CokeFuckedYou I'm in this bitch on some insomnia shit. Been in bed since midnight.
2535,@ColeMcDowell2 Waco is ghetto hahaha. Wait til we go pick up nat in Austin tomorrow
2536,@ColeMcDowell2 someone sent this to me months ago bitch
2537,@Coley_Cee @Campaign_Papi @They_CallMeShay lmaooo coley just whammmmed him add this to it swervee bitch
2538,@Coley_Cee @_xpriceless_lmaoo bitch dat was a low blow
2539,@Coley_Cee bitch dats yo sahara desert ass
2540,@Coley_Cee bitch do I look white to u
2541,@Coley_Cee bitch kill yo self
2542,@Coley_Cee bitch stop takin my shit ooo I hate u u dumb bitch
2543,@Coley_Cee bitch watch tf out u on moose meat now
2544,@Coley_Cee didn't I just say I thought u told me to delete them so I deleted them bitch
2545,@Coley_Cee fuck u u dumb ass bitch hoe
2546,@Coley_Cee lol bitch u forcin it have a glass of water bitch u a lil thirsty for the puss thang
2547,@Coley_Cee my bad bitch ayeee http://t.co/GrHTDie9dz
2548,@Coley_Cee yes bitch I do realize dat
2549,@CollinBrennan damn son maybe he didn't know it was ya piece.. He was just Tryna get some pussy breh
2550,@CommonGayTweets nigga byeeeee lmfao I'll be dammed if a fag stole my girl
2551,"@ConManBO @LastGreatStand

And a major league bitch too!"
2552,@Conrad_MLG im goin now so be expecting to get slept faggot
2553,@CoolStoryIsaac hahaha thanks bitch!! &#128514;
2554,@CoolStoryIsaac thisty hoe
2555,@Coosie11 bitch my phones gonna die in serious I got hot pockets
2556,@CoreyRoyalty_ *hoes
2557,@Corey_D_23 damn bro.. ps4 trash lol
2558,@CoronaDior just found u and fuck is my cock hard! Love your dripping pussy
2559,@Cotton_Candy9 god wrote em now think again coon
2560,@Cotton_Candy9 hell Idk who did but that pussy better be golden
2561,@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha
2562,@CountryRedBelle I thought you'd get the hint that we know you're a fake cunt and delete your fake account.
2563,@CrackerJhak Because you're a fag
2564,@Crackerboyy these hoes really out here
2565,"@CreoleBabyBritt @blurbette @thepbg The same guy who thinks he can slang around ""bitch"" without it being offensive, apparently."
2566,"@CreoleBabyBritt Don't make me draw you like one of my Franch bitches, heffa."
2567,@Crewz76 I miss Tupac rap offs hillbilly
2568,@Crowe_FaShow cause of the loads of pussy you get right
2569,@CruzanChoklate look at you with yellow fever.
2570,@Cryystalina cuz people at work are bitches they shit talkers and yeah dude I need a girls night out -___-
2571,@Cryystalina haha yes niggah but yesterday night Idk man it hit me at night like around 2 in the morning didn't go to sleep till like 4..
2572,@CsSalazar15 see bro pussy changes you &#128514;&#128514;&#128557;&#128527;&#128527;
2573,@CsSalazar15 wetback &#128513;&#128514;&#128514;&#128514;&#128514;&#128557;
2574,@CsSalazar15 yeah bitch hit me up when you get friend zoned Brody &#128076;&#128175;&#128175;
2575,@CsSalazar15 yeah right pussy !
2576,@Cuauhtli02 @elchavaloko @cafebabybull he's a cheating wetback
2577,@Cuauhtli02 @saucygyro @CoffeeManElliot he called the Kidd a pussy or something
2578,@Cuauhtli02 I couldn't find the regular one faggot
2579,"@CuckoldCock @molotovhowdy 
I likes yo page. I wants to make da lovin to a white girl wit a colored man watchin and pullin his weenis"
2580,@Cuff_no_Slut cdfu bitch you fried
2581,"@Cuner Makes you a pussy. Making stupid internet threats. You're a child and if it is about you which idk if it is, it's probably deserved."
2582,@CuteCIothes @xo_shelbie go buy them bitches
2583,@CuteEmergency shown* a tiny kitten you dumb fucking cunt
2584,"@Cyberobama @eReIevant 
plot twist he is a faggot"
2585,@D1SinceDay1 my brother. Where tf you been at negro
2586,@DEVIN__the_DUDE You ready to make this stats test our bitch?!
2587,@DIRECTV why are you showing Yankees game in arizona when you promo Washington huskies game? I bet @dish would want my business
2588,"@DJSuggablack some people do shit to get shot at and then be like ""people hate me, I dodge bullets"". Karma is bitch."
2589,@DJ_Workmann @BigMoneyNiquee mane y'all niccas crazy af wiz old shit got niccas bitin his style n errthan
2590,@DON_Le3GGG @TripleCz_3G Chatt niccas love doin dat brah
2591,@DON_Le3GGG lol hell ya dey think a nicca down der #roadrunnin
2592,@DP4_6 bitch yu not safe! http://t.co/hInvxbUp31
2593,"@DRSlaten I view hackers on the same level as shoplifters - bitch slapped into the lake and held until drowning. Harsh, but yeah. Hate."
2594,@DS_Arrogance @HG_Shit I bet I can pull at lease 3 bitches with them &#128514;&#128514;
2595,@DSwaggin6_ @_JustDavilaa @xaviee_21 @Quise4144 look at ur avi u fag
2596,@D_41395 @Inwardforfun you a bitch Dennis
2597,@D_41395 bitch don't b a hypocrite
2598,@D_41395 cuz I was gunna smoke u out today. U a bitch tho
2599,@D_MrHoopa23 see thats all gill and green bitch ass they didn't help me get my schools either. Y'all still in the tournament
2600,@D_Palomino52 @TheOneMiss_Luu you my niggah though Daniel! Lol
2601,@D_Palomino52 you a poop. :( see I'm going all ghetto talk. Wtf!
2602,@DaDamnBone &#128514;&#128514; I'm Finna DM you the pic Bruh these hoes funny
2603,@DaJetlyfe my nicca
2604,@DaJetlyfe y'all niccas spark up
2605,@DaRealAlexInLA @Buckm00se he wasn't training gook boy doe
2606,"@DaRealAlexInLA @Woody_AFC @Rodriguez5_ the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
2607,@Daa_Boy_Rell @sluttyboy_kush @keem_Escobar you. A bitch too
2608,@DallyJackson I'm here now hoe
2609,@Dalton_ryann @parkatie @blakeanderson21 I guess that dumb bitch but we all need to drink some time my place an fuck someone up haha
2610,@Dalton_ryann laying in bed bout to pass out 630 is gonna be a bitch
2611,@DamianHuffaker haha just kiddin but ya we should and get that fag @taylerhatesyou to come and well go fishin or some shit
2612,@DamianHuffaker you're from a trash can
2613,"@DamierGenesis pulled up in that bulbasuar, you know I'm bout to make yo girl pussy sore"
2614,@DamoneTheDon bitch I got some bloods dat hang in la
2615,"@DamontDa @NateMurdoch @jackdatow2335 @MKpest002 @OandAPests fuck off lil bitch, prolly gotta lil dick"
2616,@DanLukas12 gotta keep your bitch in check
2617,@DangItsTiff you look like fucking shrek bitch
2618,@DaniCim choke on bread bitch
2619,@DanielDavidLee @xoxoShima ya girl is a slimy ass hoe. get her under control and tell her to stop spraying bullshit out her mouth all day
2620,@DanielM023 Hell na !! Hes a honky brah
2621,@DanielSizelove @Conrad_MLG get on cunt
2622,@DanielSizelove pussy
2623,@DaniellaParella no I wuz just making a general statement. I've never called u a bitch
2624,@DareTnzR I know these hoes ain't right
2625,@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga
2626,@Darienbaby_xoxo jk I'd fuck a dog before I fuck you fish pussy
2627,@Darienbaby_xoxo ya but you can't because its a real account dumb bitch I go to wams fucking bitch
2628,@DarkLiquaNigga_ nigga grow some balls and concentrate pussy!!
2629,"@DarthMaverick7 @Xcntrik @religulous @chrispyosh Rather than believe that there was a man who was the very definition of good, u mock it."
2630,@Darth_Maxwell dude I was pissed but then looking at it I fucking died at least I'm the most yoked ape&#128517;&#128514;
2631,"@Darth_Snuff I'd sell anything if people are willing to buy it, how highly do prostitutes think of their pussy to sell that"
2632,@DatBoyRayT because if you support lesbians you have to support faggots there's no difference.
2633,@DatBoyRayT bitch ass nigga Rico &#128530;
2634,@DaveSwerve awe boy your shirt tight than a bitch in that avi polo man turnt into a wrestler fat ass lil boy
2635,@DaveSwerve boy look like a Slave on that hoe
2636,@DaveSwerve lmaoooo middle school knocking down all the pussy with the earrings on my shirt and no French toast
2637,"@DaveTheGayBaby No problem, remembering all those quirks can be a real bitch."
2638,@Dave_the_wavee the giants are trash...their time is over.
2639,@DavetheBrave1 come over hoe
2640,@DavetheBrave1 perfect smoking weather haha bro I ain't even in my hood yet and I already got hoes trying to say was up from other towns
2641,@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high
2642,@David_Hunninck all bitches eh. hahah
2643,"@DeAdJAkE i just cant stand how people get all fucking amped about it, especially whiny bitches that even get scared at it"
2644,@DeArionBASEDGOD nigga fuck you. Some plano schools go hard then a bitch way better than Richardson.
2645,@DebsFLPx I was lucky to be sensible and I've never had a fag or a drug. I'm pleased about that statistic. Yes I have a beer but that's all.
2646,@Decimate_IX Can't even spell right. You have the brain of an ape
2647,"@DecodnLyfe @LupeFiasco @Larellj another black man? What does that have to do with anything? Once a monkey, always a monkey, Chicago idiot"
2648,"@Dedicated_03 idk , I gotta think about it cause them bitches small as shit"
2649,@Dedicated_03 that ugly ass picture and thanks bitch
2650,@DeeHarris__ she might be the one DONT be a bitch
2651,@DeeJay138 @FuckWatYuhHerrd I couldn't care LESS about these bitches!!!
2652,@DeeMayweather the fck? dem bitches always got sum shit wit them....
2653,@DeeRay_FRESH - pussy &amp; purp.&#128514;
2654,@Deeiiggee hey bitch if your gonna talk shit tag me and quit being such a bitch how did I fuck up the car? Cause it won't hold air dumbass
2655,@DeezNutsDoe I'd hate feeling like a faggot too punk ass hoe
2656,@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot
2657,@DeezNutsDoe shut your mouth you little fuckin bitch
2658,@DeezNutsDoe you dirty little bitch
2659,"@DefendWallSt Whatever! Fuck all those assholes. They're niggers, they all look alike to me."
2660,"@DefendWallSt those little #ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope."
2661,@DefineMEee lol tell dat white bitch I said hey
2662,@DeliaParedez @rikki_lovee @GabrielaAngela4 @StephyRae7 @TheOneMiss_Luu @Ramona_Pilar I'm coming bitches.
2663,@Dem_lips_tho u knw me homie!!! show the bitches no love!!!
2664,@Derek_Kirchner7 @tori_mills02 fags&#128567;&#128567;
2665,@DerringerEagle ur moms pussy died a slow death so well have good company #virgin
2666,"@DestroTheNoble @nekolin purple &amp; pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!"
2667,"@DetroitChe bitches be like.. ""it means something to me"""
2668,@DetroitPlayer @prettytreazure gotta be atleast 5'10 to call me a bitch lol
2669,@DevilElyie fag*
2670,@DevilFzyq @DevilElyie @TehDevilClan shut up fag
2671,@DevilGrimz ironic that he's a trashcan because he holds trash everytime you two cuddle! Burn.
2672,@DezzzyBo Lol that nigga a real retard
2673,@DgkAdriann shes a bad bitch
2674,@DickDankstardly did you smile like a retard when you were a kid? It took me till like 5th grade before I learned how to naturally smile
2675,@Dietcarmel @JLewyville &#128514;&#128514;&#128514; Idgaf man fuck them hoes ... They nice to look at but they ain't for me
2676,@DiggyRoZay she the only bitch that stayed loyal &#128554; she a keeper bro
2677,@DiggzTBLB ; bitch.. What? http://t.co/OcsuDvN5hy
2678,"@DignifiedPurity LMAOOO @ ""black fag""..... why did I misread that??... I'm blocking you"
2679,@Digo13Nieto thanks little fag &#128536;
2680,@Diishaidiamond lmao yesterday ? Them hoes was cute af lol
2681,@DimelouXaOh keeping these hoes happy
2682,@DimitriCrossin bitch ass
2683,"@DionPrimo The soul has departed from the train.There's no more soul in music.Just hunger for bitches,money and fame."
2684,@DirkAlisic @Balkan_Made dude quit being a hyposhitical bitch. you ran downstairs crying/begging me not to tell anyone.
2685,@Dirrttyydan lmaoo my phone autocorrect like a bitch..
2686,@DirtyEaffiliate he loves juggling it all around it... he loves the fast life im sure hes already grinded on amcon hoes as well
2687,"@DivaMonRoe2uHoE @CheefPolo hoe hoe hoe, merry Christmas"
2688,@DividendMaster obama is a bitch his speech was pure politics for mid terms. Only way we destroy ISIS is with troops on the ground.
2689,"@DizzyBala @JamesWinfield hey now, don't diss my basketball hoe."
2690,"@DizzyBala @jmattear awww, dis sellout nigguh still talking."
2691,"@DizzyBala man both them get around a lot, bunch of hoes."
2692,"@DizzyBala whoa, calling me a cunt?"
2693,@DjChubbESwagg this like a retarded wu-tang clan
2694,@Djlouis12 at my club ho (;
2695,@DoItLikeJaye_ - yasss bitch yassss. you deserve it. *Drake voice* &#128514;&#128514;&#9996;&#65039;
2696,@DoeMostDope @mattrbennett209 @JohnnieGoings ha booner has that twitter @boone_boone5356 ha
2697,@DolanGang beans u beaner?
2698,@DolanGang you wouldn't know fag
2699,"@DolfyAdolf 
Y'all gots betta machinery fo dat. Hanger be ghetto"
2700,"@DomIzDope lmao I've always wanted to ski..bust my ass or not I'm innat hoe, fit and all."
2701,"@DomWorldPeace Oh nab.. Def not that easy. You may not know, nor believe this but I'm legendary for curving pussy.. lol Guilty pleasure."
2702,@DonLemonCNN @DanaBashCNN u both sorry to give racist @SenTedCruz a platform w his trash language Dana ur intvw was below kindergarten level
2703,"@DonnerKay @surlyrevenant An enraged 6'4"" 290 lb Mike Brown lethal weapon on legs.His hatred 4 the police &amp; whitey added fuel 2 his arsenal"
2704,@Doop_3 lol shid who got one? Boy my ass lonely as a bitch. You cuffed up ain't ya
2705,@DopeBoy_Pollo &#128514; wassup pussy
2706,@DopeKorean lmfao putting on for twitter i see fat bitch
2707,@DoubleAIV just watch bitch nigga u gonna want the whole team dead
2708,"@DougBenson hey you bitch, you should get the @lucasbros on your show. They'd be perfect for it! I'm kidding about the bitch part."
2709,@DoughBoyFreco hahahhaha he had mad bitches &#128514;&#128514;&#128514;&#128514;
2710,@Dougherty06 my apologies... Oh wait it's my fucking birthday bitch &#128521;
2711,@DouneAldy what are you doing tonight pussy?
2712,"@DrMalvo 
I likes it back dare. It's free fo me cause whitey pay da fee"
2713,"@DrMalvo @_Rotten__ 
Who is da ""we"" whitey?"
2714,"@Drake thank you for the lyrics, these bitches so gullible an sleep on your music they just be like aw u so sweet let me suck ur dick"
2715,@Dranumaya wrong maybe you been dealing with pussies but I don't put up with that crap. If I f*** up telling me I f***** up. Keep it real
2716,@Dre_Day200 bitch
2717,@Dre_Day200 nig nog
2718,@Dre_thinks lol lil bitch
2719,@Dre_thinks that damn coach ain't never called back bitch ass
2720,@DreadHeadxx bitch hallon
2721,@DrewHelms21 I know right so much retard
2722,@Drfreezeburnn @DaithiDeNogla I just learned how many retards you can find when you search trending topics.
2723,@Drfreezeburnn That's not bias. It's an objective fact that Philly fans are cunts.
2724,@DriveMy_Lexis yasssss bitch yasssss &#128525;
2725,"@Druggzz_ Its gonna bring it down though unless its turning into a welt already, like a bubble wit pussy. Gotta pop it an it'll be gone"
2726,@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good
2727,@Dswizzle3 @Dswizzle boy u look like big bird off of sesame street
2728,@Dswizzle3 bitch i dont even look like that keep talking and we going to fight
2729,@Dswizzle3 bitch im real nigga the fuck u mean weak ass nigga i do me i dont pretend to be someone im not so u can shut that shit up fuk boy
2730,"@Dswizzle3 bitch your unknown u dont have a mixtape and you damn sure cant rap, u couldn't rap if your life depend on it"
2731,@Dswizzle3 naw u keep it 100% fake get yo lame ass on somwhere wigga hell no get on somwhere
2732,@Dswizzle3 oh hell no u have no swag whats so ever not even a little bit with dem cheap ass pugs and why so have a rag on bitch u not black
2733,@Dswizzle3 yea thats what i thought pussy boy u r a fucking thot
2734,@Duckin_Fope thats a win right there. any nigga who doesnt partake in that is a faggot. even if they dont smoke.
2735,@DudeWithAHighKD @jeffreyhaas @JUDDNATION she sucks..bitch cant even pretend dance.
2736,@DustinHooper225 should be lol lil bitch
2737,"@DutchBrosPlease you're welcome, I miss you too nig nog"
2738,@EGP_Guamo @SonicBoomBrad I'm assuming it would look something like a bitch slap and a Dickpunch
2739,@EJTHR33 You do got alla da hoes..
2740,@EVBY_HATES_ASH that bitch wants everybody out though.. thats the same shit she did to me at one point
2741,@EZadick don't fail bitch
2742,@EaTMyTweetZz @LilButtSHAR that bitch hit the chick when she won't looking.. That shit weak af
2743,@EaTMyTweetZz Huh? I been with Verizon for 4 years bitch.
2744,"@EaTMyTweetZz text me, we don't noisy hoes watching"
2745,@EaglesandHeat @Bpfillherup @SoleUniv nigga you done bumped yo head. Li nings fire but Kobe 9 Elite golds are trash!? http://t.co/NaadECTQAk
2746,@EatMyTattoos that was real nicca shit tho lol
2747,@Eba_sandman you mean bitch ass pussy
2748,@EcliptiK @zFearless @prihncess @SSickStory mine pussy
2749,@Eddie_Hayden1 lol yeah bro good choice. But bitches do love foreign whips so it's a personal decision
2750,@Eddie_Sativa87 pussy.
2751,@EdgarGuillenjr @imthatsubieguy @blakeanderson21 @joshhandsomee87 you ain't 6 feet under its not over pussy
2752,@EdgarGuillenjr @jo_clark6 @blakeanderson21 your a bitch if you hit a girl
2753,@EdgarGuillenjr @jo_clark6 @dalton_ryann @dault24 @blakeanderson21 @justinmiculka01 @ktit_418 @aaronbaxter9 you a bitch Edgar
2754,@EdgarGuillenjr your a punk pussy ass bitch! Dude you don't have the balls to fight all you wanna do is wanna hit girls your a fuckin bitch
2755,@ElJefeDeJefes4C damn bitches on a niggas mind haha
2756,"@El_Grillo1 Off to the east of your current location, on an east-facing slope (dry side of a dry place)."
2757,"@ElaineeEspinoza *you're, *bitch"
2758,@EleyCome_EleyGo @caykelly16 movies don't matter as long as you do coon shit with coons you're a nigga!
2759,@Elijahfnbaby bra I'm bout to blaze this bitch
2760,@ElizabethBatman &amp; @z0mbiedance are bitches.
2761,"@ElizabethBatman We doing it Lizard. Unless you skype us, bitches."
2762,@ElizabethBatman bitch.
2763,@Elvis_NotPresly I gt android dmt kno whats in that box my nig
2764,@ElyssaJankowski @ComedyTextings haha she a stupid hoe
2765,@EmmaLouisaSuttl @timmyn90 Anyone bring in a monkey.
2766,@EmmaNillaNilla cocky sons of bitches
2767,@EmmanuelRodz11 WILLIAN up in that hoe &#128514;&#128514;&#128514;&#128514;
2768,@EmpressTaTa aww man we had a BALL. Small lil affair. Set that bitch out!
2769,"@EnglishBrit123 sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike."
2770,@EricWithAHotDad bitch I work 24 hours a day to protect your freedom fuck you #AlwaysOnWatch #GlobalForceForGood
2771,@EricWithAHotDad bitch I'm done with school
2772,@EricWithAHotDad faggot
2773,@Eric_Mariners @JC_1221 point that sasquatch bitch out
2774,@Eric_Mariners @chief_peters @LEXXX_RUGER @MANIAC3X @Rodriguez5_ this hoe wasn't loyal http://t.co/LG83fwLdwp
2775,"@ErinSaberSix im 99 slay bitch, im wearin bandos armor cause im so rich, i got my slayer helm and my whip droppies"
2776,@ErinTaylor14 @BRios82 you both sure do You want to give a free pass to every border jumper in this country you two are what's wrong here
2777,@Ese_Miro bitch please &#9995;
2778,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake because she's a nigger
2779,@EvanBecker513 @_TriggaPlease_ @MorbidMermaid @zooyorkinit @_ShayisdaBOMB_ @Rainbowblake they can see this dumbass nigger
2780,@EvanBecker513 what are you doing bitch
2781,@EvanDMyers @nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one
2782,@Evan_White4 @jeremy_hemsley really that's why we got side hoes &#128526;
2783,@EvelDick Y am I not surprised UGLY MIKE BOOGIE has to buy pussy??!!!!
2784,@EverybodyHatesV I read a black man tweet hot sauce is trash &amp; watermelon is overrated. I can't deal
2785,@EverybodyHatesX shut up bitch and focus on that L tomar
2786,"@EyeOnPolitics @chrisloesch As long as its not one of those ""special brownies"" right?"
2787,@EzraxDavis you want my pussy so bad
2788,@FAGHETTIOS speak english prude ass white bitch
2789,@FAGHETTIOS thirsty basic ass bitch
2790,@FIFAcom Pepe because his defending was outstanding! His tackles were accurate nd he did hos job perfectly in both legs!
2791,@FOLLOWNOVA Yooo I was thinking bout that the other day lol.. You only really speaking of one person my niggah
2792,@FRANKTHEFOB ok u hav gun. I love you and you are my superior at fighting games and you probably get more bitches too. peace &#9996;
2793,@FabianMleal aoas you write back bitch lol
2794,@FabianMleal bitch lol
2795,@FabianMleal no bitch lol I'm not about that life anymore
2796,@Faisal_nizam khaye I can't see your freakin emojis I'm a basic bitch today.
2797,@Fapplebee dude tell me why that's so true my mom has this friends from Texas trying to hype redskin football and shit
2798,@Fardousaa becuz no man should celebrate his bday at a drreams #faggot
2799,@Farrahisawhore @PersianFarrah nice account faggot
2800,@Fatass_mee pussy
2801,@FattyyTooRaw well Ontario is like kind of a dump now that the ghetto moved here since its cheaper to live here so.. &#128514;
2802,@FazeyBaby @kmichelle @souljaboy who can vouch for ya pussy tho k?
2803,"@FemsHaveBallz have u spent significant time in ANY ghetto, or witnessed the years of terrorism committed by police in the Black community?"
2804,"@FemsHaveBallz what an unfortunate clothing choice... Hoes with the crooked belly ring. Completes the ""dumb trash"" motif perfectly"
2805,@FenkellPayroll y'all niccas bout to blow fool!! Lol can't wait for the world to see this Detroit shit nicca!
2806,@FernandezIce quit being a pussy
2807,"@FeyeNody Ja zo denkt ieder wel 't zijne over zaken he. &amp; je mag mij noemen hoe je wilt, ben namelijk erg voor vrijheid van meningsuiting."
2808,@FightNightX @NMF4Life khan has been facing nothing but trash since his L to Garcia
2809,@FightsOnVine bitch dont even think about playin wit me!
2810,@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe
